ACTUALSHIPDATE,CATEGORY,WHSEID,BRAND,Total QTY,Total CBM,Week,Day
2024-01-05,FRESH,BKD1,KINH DO CAKE,73313.0,46.39940024,5.Friday,5
2024-01-05,TET,BKD1,HAMPER,12104.0,47.72022215,5.Friday,5
2024-01-05,DRY,BKD1,SOLITE,595718.0,240.14034959183365,5.Friday,5
2024-01-05,DRY,BKD1,SLIDE,63840.0,127.08268143335921,5.Friday,5
2024-01-05,DRY,BKD1,RITZ,5904.0,4.681998552,5.Friday,5
2024-01-05,DRY,BKD1,OREO,234194.0,221.2036007796171,5.Friday,5
2024-01-05,DRY,BKD1,LU,2636.0,2.8992728757475694,5.Friday,5
2024-01-05,DRY,BKD1,KINH DO BISCUIT,35930.0,83.51100000000001,5.Friday,5
2024-01-05,DRY,BKD1,COSY,180640.0,228.13721341377806,5.Friday,5
2024-01-05,FRESH,BKD1,KINH DO BREAD,304600.0,101.07967761441886,5.Friday,5
2024-01-05,MOONCAKE,BKD1,TRANG VANG,0.0,0.0,5.Friday,5
2024-01-05,TET,BKD1,AFC,0.0,0.0,5.Friday,5
2024-01-06,DRY,BKD1,AFC,146228.0,111.64879024436159,6.Saturday,6
2024-01-06,TET,BKD1,SOLITE,5128.0,29.204999204,6.Saturday,6
2024-01-06,TET,BKD1,OREO,2780.0,13.448,6.Saturday,6
2024-01-06,TET,BKD1,LU,9908.0,38.62847578578284,6.Saturday,6
2024-01-06,TET,BKD1,KOKO,2420.0,10.893242500000001,6.Saturday,6
2024-01-06,TET,BKD1,COSY,15322.0,87.96099798200001,6.Saturday,6
2024-01-06,MOONCAKE,BKD1,THU,504.0,2.0905190859375002,6.Saturday,6
2024-01-06,FRESH,BKD1,KINH DO CAKE,32935.0,22.537,6.Saturday,6
2024-01-06,TET,BKD1,HAMPER,4484.0,20.47353705,6.Saturday,6
2024-01-06,DRY,BKD1,SOLITE,205216.0,73.305171226618,6.Saturday,6
2024-01-06,DRY,BKD1,SLIDE,18340.0,30.66717447127685,6.Saturday,6
2024-01-06,DRY,BKD1,RITZ,7604.0,5.427997992,6.Saturday,6
2024-01-06,DRY,BKD1,OREO,136716.0,116.51179335499873,6.Saturday,6
2024-01-06,DRY,BKD1,LU,1600.0,2.2820512,6.Saturday,6
2024-01-06,DRY,BKD1,KINH DO BISCUIT,19318.0,53.810613281250006,6.Saturday,6
2024-01-06,DRY,BKD1,COSY,94392.0,123.37984349802761,6.Saturday,6
2024-01-06,FRESH,BKD1,KINH DO BREAD,122870.0,41.27068703674049,6.Saturday,6
2024-01-06,MOONCAKE,BKD1,TRANG VANG,0.0,0.0,6.Saturday,6
2024-01-06,TET,BKD1,AFC,0.0,0.0,6.Saturday,6
2024-01-07,DRY,BKD1,AFC,0.0,0.0,7.Sunday,7
2024-01-07,TET,BKD1,SOLITE,0.0,0.0,7.Sunday,7
2024-01-07,TET,BKD1,OREO,0.0,0.0,7.Sunday,7
2024-01-07,TET,BKD1,LU,0.0,0.0,7.Sunday,7
2024-01-07,TET,BKD1,KOKO,0.0,0.0,7.Sunday,7
2024-01-07,TET,BKD1,COSY,0.0,0.0,7.Sunday,7
2024-01-07,MOONCAKE,BKD1,THU,0.0,0.0,7.Sunday,7
2024-01-07,FRESH,BKD1,KINH DO CAKE,0.0,0.0,7.Sunday,7
2024-01-07,TET,BKD1,HAMPER,100.0,0.08850875,7.Sunday,7
2024-01-07,DRY,BKD1,SOLITE,0.0,0.0,7.Sunday,7
2024-01-07,DRY,BKD1,SLIDE,0.0,0.0,7.Sunday,7
2024-01-07,DRY,BKD1,RITZ,0.0,0.0,7.Sunday,7
2024-01-07,DRY,BKD1,OREO,0.0,0.0,7.Sunday,7
2024-01-07,DRY,BKD1,LU,0.0,0.0,7.Sunday,7
2024-01-07,DRY,BKD1,KINH DO BISCUIT,0.0,0.0,7.Sunday,7
2024-01-07,DRY,BKD1,COSY,0.0,0.0,7.Sunday,7
2024-01-07,FRESH,BKD1,KINH DO BREAD,0.0,0.0,7.Sunday,7
2024-01-07,MOONCAKE,BKD1,TRANG VANG,0.0,0.0,7.Sunday,7
2024-01-07,TET,BKD1,AFC,0.0,0.0,7.Sunday,7
2024-01-08,DRY,BKD1,AFC,137372.0,80.35707025128056,1.Monday,8
2024-01-08,TET,BKD1,SOLITE,17642.0,115.266998896,1.Monday,8
2024-01-08,TET,BKD1,OREO,18670.0,70.909,1.Monday,8
2024-01-08,TET,BKD1,LU,13546.0,55.05399633237386,1.Monday,8
2024-01-08,TET,BKD1,KOKO,1840.0,4.1395729875,1.Monday,8
2024-01-08,TET,BKD1,COSY,19844.0,94.32756251800001,1.Monday,8
2024-01-08,MOONCAKE,BKD1,THU,360.0,0.030742927734375,1.Monday,8
2024-01-08,FRESH,BKD1,KINH DO CAKE,86328.0,56.3724006,1.Monday,8
2024-01-08,TET,BKD1,HAMPER,10368.0,62.3866292,1.Monday,8
2024-01-08,DRY,BKD1,SOLITE,203430.0,92.04526467058726,1.Monday,8
2024-01-08,DRY,BKD1,SLIDE,24010.0,52.56818532894522,1.Monday,8
2024-01-08,DRY,BKD1,RITZ,3600.0,4.2779995600000005,1.Monday,8
2024-01-08,DRY,BKD1,OREO,231264.0,98.17787024632051,1.Monday,8
2024-01-08,DRY,BKD1,LU,540.0,1.0144704,1.Monday,8
2024-01-08,DRY,BKD1,KINH DO BISCUIT,32810.0,76.15500000000002,1.Monday,8
2024-01-08,DRY,BKD1,COSY,83992.0,110.51651747773005,1.Monday,8
2024-01-08,FRESH,BKD1,KINH DO BREAD,314952.0,106.9662137017922,1.Monday,8
2024-01-08,MOONCAKE,BKD1,TRANG VANG,0.0,0.0,1.Monday,8
2024-01-08,TET,BKD1,AFC,0.0,0.0,1.Monday,8
2024-01-09,DRY,BKD1,AFC,140464.0,90.47067104213086,2.Tuesday,9
2024-01-09,TET,BKD1,SOLITE,9060.0,57.80999928000001,2.Tuesday,9
2024-01-09,TET,BKD1,OREO,5220.0,21.3,2.Tuesday,9
2024-01-09,TET,BKD1,LU,9972.0,33.671478115152404,2.Tuesday,9
2024-01-09,TET,BKD1,KOKO,1330.0,6.490565,2.Tuesday,9
2024-01-09,TET,BKD1,COSY,7270.0,41.151998804,2.Tuesday,9
2024-01-09,MOONCAKE,BKD1,THU,592.0,2.7805270195312497,2.Tuesday,9
2024-01-09,FRESH,BKD1,KINH DO CAKE,46564.0,38.75420006,2.Tuesday,9
2024-01-09,TET,BKD1,HAMPER,8744.0,47.5374322,2.Tuesday,9
2024-01-09,DRY,BKD1,SOLITE,268452.0,113.20244995073799,2.Tuesday,9
2024-01-09,DRY,BKD1,SLIDE,23506.0,34.613282819517465,2.Tuesday,9
2024-01-09,DRY,BKD1,RITZ,6582.0,8.772999456,2.Tuesday,9
2024-01-09,DRY,BKD1,OREO,202406.0,79.45764291262603,2.Tuesday,9
2024-01-09,DRY,BKD1,LU,1940.0,1.94,2.Tuesday,9
2024-01-09,DRY,BKD1,KINH DO BISCUIT,17520.0,38.544000000000004,2.Tuesday,9
2024-01-09,DRY,BKD1,COSY,69010.0,88.11502267029246,2.Tuesday,9
2024-01-09,FRESH,BKD1,KINH DO BREAD,303198.0,98.26422275535452,2.Tuesday,9
2024-01-09,MOONCAKE,BKD1,TRANG VANG,0.0,0.0,2.Tuesday,9
2024-01-09,TET,BKD1,AFC,0.0,0.0,2.Tuesday,9
2024-01-10,DRY,BKD1,AFC,173396.0,98.5451197036002,3.Wednesday,10
2024-01-10,TET,BKD1,SOLITE,3738.0,24.403999764,3.Wednesday,10
2024-01-10,TET,BKD1,OREO,8368.0,41.914,3.Wednesday,10
2024-01-10,TET,BKD1,LU,21606.0,99.83876451618526,3.Wednesday,10
2024-01-10,TET,BKD1,KOKO,1160.0,4.51224125,3.Wednesday,10
2024-01-10,TET,BKD1,COSY,12358.0,70.866998236,3.Wednesday,10
2024-01-10,MOONCAKE,BKD1,THU,40.0,0.003415880859375,3.Wednesday,10
2024-01-10,FRESH,BKD1,KINH DO CAKE,75398.0,48.76740018,3.Wednesday,10
2024-01-10,TET,BKD1,HAMPER,10776.0,46.7475051,3.Wednesday,10
2024-01-10,DRY,BKD1,SOLITE,350202.0,121.56087878208037,3.Wednesday,10
2024-01-10,DRY,BKD1,SLIDE,24570.0,38.417407703583386,3.Wednesday,10
2024-01-10,DRY,BKD1,RITZ,5530.0,5.67099944,3.Wednesday,10
2024-01-10,DRY,BKD1,OREO,119570.0,61.79890716525223,3.Wednesday,10
2024-01-10,DRY,BKD1,LU,612.0,0.6240000239999999,3.Wednesday,10
2024-01-10,DRY,BKD1,KINH DO BISCUIT,19586.0,46.250174707031256,3.Wednesday,10
2024-01-10,DRY,BKD1,COSY,132492.0,146.07674892111194,3.Wednesday,10
2024-01-10,FRESH,BKD1,KINH DO BREAD,369696.0,124.18478728691858,3.Wednesday,10
2024-01-10,MOONCAKE,BKD1,TRANG VANG,0.0,0.0,3.Wednesday,10
2024-01-10,TET,BKD1,AFC,0.0,0.0,3.Wednesday,10
2024-01-11,DRY,BKD1,AFC,229716.0,158.69592297920724,4.Thursday,11
2024-01-11,TET,BKD1,SOLITE,1342.0,5.5099995559999995,4.Thursday,11
2024-01-11,TET,BKD1,OREO,2960.0,11.768,4.Thursday,11
2024-01-11,TET,BKD1,LU,24960.0,104.84852650293328,4.Thursday,11
2024-01-11,TET,BKD1,KOKO,1500.0,5.9267375,4.Thursday,11
2024-01-11,TET,BKD1,COSY,3256.0,20.231363591875002,4.Thursday,11
2024-01-11,MOONCAKE,BKD1,THU,880.0,3.487614357421875,4.Thursday,11
2024-01-11,FRESH,BKD1,KINH DO CAKE,52485.0,37.90100012,4.Thursday,11
2024-01-11,TET,BKD1,HAMPER,11718.0,68.44847025,4.Thursday,11
2024-01-11,DRY,BKD1,SOLITE,691334.0,274.9921894284419,4.Thursday,11
2024-01-11,DRY,BKD1,SLIDE,22890.0,30.53264941563809,4.Thursday,11
2024-01-11,DRY,BKD1,RITZ,6440.0,8.75399956,4.Thursday,11
2024-01-11,DRY,BKD1,OREO,274938.0,92.5018203439645,4.Thursday,11
2024-01-11,DRY,BKD1,LU,1716.0,1.7520000719999997,4.Thursday,11
2024-01-11,DRY,BKD1,KINH DO BISCUIT,25380.0,55.836000000000006,4.Thursday,11
2024-01-11,DRY,BKD1,COSY,196746.0,254.4816686290658,4.Thursday,11
2024-01-11,FRESH,BKD1,KINH DO BREAD,257838.0,82.62070800811239,4.Thursday,11
2024-01-11,MOONCAKE,BKD1,TRANG VANG,0.0,0.0,4.Thursday,11
2024-01-11,TET,BKD1,AFC,0.0,0.0,4.Thursday,11
2024-01-12,DRY,BKD1,AFC,349332.0,279.09613075156113,5.Friday,12
2024-01-12,TET,BKD1,SOLITE,6746.0,27.70609474,5.Friday,12
2024-01-12,TET,BKD1,OREO,5858.0,25.013,5.Friday,12
2024-01-12,TET,BKD1,LU,10622.0,37.255001206,5.Friday,12
2024-01-12,TET,BKD1,KOKO,1110.0,6.8891100000000005,5.Friday,12
2024-01-12,TET,BKD1,COSY,7782.0,44.475999302,5.Friday,12
2024-01-12,MOONCAKE,BKD1,THU,320.0,1.110247642578125,5.Friday,12
2024-01-12,FRESH,BKD1,KINH DO CAKE,80047.0,50.11960018,5.Friday,12
2024-01-12,TET,BKD1,HAMPER,8780.0,23.2055162,5.Friday,12
2024-01-12,DRY,BKD1,SOLITE,900594.0,292.5031170844717,5.Friday,12
2024-01-12,DRY,BKD1,SLIDE,33922.0,56.08386502615928,5.Friday,12
2024-01-12,DRY,BKD1,RITZ,4326.0,4.242999208,5.Friday,12
2024-01-12,DRY,BKD1,OREO,416450.0,177.0985087271137,5.Friday,12
2024-01-12,DRY,BKD1,LU,540.0,0.54,5.Friday,12
2024-01-12,DRY,BKD1,KINH DO BISCUIT,25560.0,56.232000000000006,5.Friday,12
2024-01-12,DRY,BKD1,COSY,183040.0,251.13719243039728,5.Friday,12
