ACTUALSHIPDATE,CATEGORY,WHSEID,BRAND,Total QTY,Total CBM,Week,Day
2025-01-01,DRY,BKD1,AFC,41004.0,19.2170756,3.Wednesday,1
2025-01-01,TET,BKD1,SOLITE,410.0,2.8699999999999997,3.Wednesday,1
2025-01-01,TET,BKD1,OREO,3900.0,22.68,3.Wednesday,1
2025-01-01,TET,BKD1,LU,4158.0,22.626021653257997,3.Wednesday,1
2025-01-01,TET,BKD1,HAMPER,11734.0,100.752,3.Wednesday,1
2025-01-01,TET,BKD1,COSY,910.0,4.7008611062500005,3.Wednesday,1
2025-01-01,MOONCAKE,BKD1,THU,160.0,0.8800000000000001,3.Wednesday,1
2025-01-01,TET,BKD1,KOKO,322.0,0.518000112,3.Wednesday,1
2025-01-01,DRY,BKD1,SLIDE,14910.0,31.092093614485684,3.Wednesday,1
2025-01-01,DRY,BKD1,RITZ,6649.0,4.3909799199999995,3.Wednesday,1
2025-01-01,DRY,BKD1,OREO,76516.0,52.05496968172162,3.Wednesday,1
2025-01-01,DRY,BKD1,KINH DO BISCUIT,4550.0,10.155000000000001,3.Wednesday,1
2025-01-01,DRY,BKD1,COSY,39392.0,39.58220131381781,3.Wednesday,1
2025-01-01,DRY,BKD1,SOLITE,253162.0,56.942167600000005,3.Wednesday,1
2025-01-01,TET,BKD1,AFC,0.0,0.0,3.Wednesday,1
2025-01-01,FRESH,BKD1,KINH DO CAKE,0.0,0.0,3.Wednesday,1
2025-01-01,FRESH,BKD1,KINH DO BREAD,0.0,0.0,3.Wednesday,1
2025-01-01,DRY,BKD1,LU,0.0,0.0,3.Wednesday,1
2025-01-01,MOONCAKE,BKD1,TRANG VANG,0.0,0.0,3.Wednesday,1
2025-01-01,TET,BKD1,CADBURY,0.0,0.0,3.Wednesday,1
2025-01-02,DRY,BKD1,AFC,153848.0,103.41760550004882,4.Thursday,2
2025-01-02,TET,BKD1,SOLITE,650.0,4.55,4.Thursday,2
2025-01-02,TET,BKD1,OREO,2118.0,10.449,4.Thursday,2
2025-01-02,TET,BKD1,LU,6848.0,33.82781713515406,4.Thursday,2
2025-01-02,TET,BKD1,HAMPER,2778.0,34.121,4.Thursday,2
2025-01-02,TET,BKD1,COSY,5086.0,32.79452432033413,4.Thursday,2
2025-01-02,MOONCAKE,BKD1,THU,400.0,2.2,4.Thursday,2
2025-01-02,TET,BKD1,KOKO,938.0,1.942000048,4.Thursday,2
2025-01-02,DRY,BKD1,SLIDE,38780.0,89.89950389835522,4.Thursday,2
2025-01-02,DRY,BKD1,RITZ,2464.0,2.263995519999998,4.Thursday,2
2025-01-02,DRY,BKD1,OREO,79026.0,48.80569826948832,4.Thursday,2
2025-01-02,DRY,BKD1,KINH DO BISCUIT,12400.0,26.942872265625002,4.Thursday,2
2025-01-02,DRY,BKD1,COSY,54796.0,58.916720331213185,4.Thursday,2
2025-01-02,DRY,BKD1,SOLITE,252526.0,68.12859296333323,4.Thursday,2
2025-01-02,TET,BKD1,AFC,240.0,0.7050000000000001,4.Thursday,2
2025-01-02,FRESH,BKD1,KINH DO CAKE,56741.0,10.926000600030795,4.Thursday,2
2025-01-02,FRESH,BKD1,KINH DO BREAD,223404.0,88.46513716945577,4.Thursday,2
2025-01-02,DRY,BKD1,LU,230.0,0.224,4.Thursday,2
2025-01-02,MOONCAKE,BKD1,TRANG VANG,0.0,0.0,4.Thursday,2
2025-01-02,TET,BKD1,CADBURY,0.0,0.0,4.Thursday,2
2025-01-03,DRY,BKD1,AFC,170296.0,99.97630615934762,5.Friday,3
2025-01-03,TET,BKD1,SOLITE,1220.0,3.5933876400000004,5.Friday,3
2025-01-03,TET,BKD1,OREO,1548.0,7.704,5.Friday,3
2025-01-03,TET,BKD1,LU,15436.0,68.09744164704105,5.Friday,3
2025-01-03,TET,BKD1,HAMPER,7912.0,93.35600000000001,5.Friday,3
2025-01-03,TET,BKD1,COSY,5876.0,35.17388059216867,5.Friday,3
2025-01-03,MOONCAKE,BKD1,THU,1000.0,5.5,5.Friday,3
2025-01-03,TET,BKD1,KOKO,700.0,1.17400024,5.Friday,3
2025-01-03,DRY,BKD1,SLIDE,31220.0,70.49507863930462,5.Friday,3
2025-01-03,DRY,BKD1,RITZ,5066.0,4.609994479999998,5.Friday,3
2025-01-03,DRY,BKD1,OREO,81610.0,59.12302512832443,5.Friday,3
2025-01-03,DRY,BKD1,KINH DO BISCUIT,17310.0,39.134154199218756,5.Friday,3
2025-01-03,DRY,BKD1,COSY,49662.0,64.14657787718875,5.Friday,3
2025-01-03,DRY,BKD1,SOLITE,268196.0,78.16533205747979,5.Friday,3
