ACTUALSHIPDATE,CATEGORY,WHSEID,BRAND,Total QTY,Total CBM,Week,Day,CATEGORY_encoded,WHSEID_encoded,BRAND_encoded,Week_encoded
2023-01-05,TET,BKD1,HAMPER,-0.23668388606611357,1.0275639439302031,4.Thursday,5,3,0,3,3
2023-01-05,TET,BKD1,AFC,-0.37700641498737686,-0.4181937507910662,4.Thursday,5,3,0,0,3
2023-01-05,TET,BKD1,COSY,-0.14438516481083555,1.2290698237022537,4.Thursday,5,3,0,2,3
2023-01-05,TET,BKD1,KOKO,-0.36628173066671216,-0.5010647854580027,4.Thursday,5,3,0,7,3
2023-01-05,TET,BKD1,OREO,-0.29785255017822326,-0.1360586169924429,4.Thursday,5,3,0,9,3
2023-01-05,TET,BKD1,SOLITE,-0.08554176411338323,0.1887627855501005,4.Thursday,5,3,0,12,3
2023-01-05,MOONCAKE,BKD1,THU,-0.3900089083672978,-0.5250681331876046,4.Thursday,5,2,0,13,3
2023-01-06,DRY,BKD1,LU,-0.2647294101082058,-0.5248545987517745,5.Friday,6,0,0,8,4
2023-01-06,MOONCAKE,BKD1,TRANG VANG,-0.3900089083672978,-0.5250681331876046,5.Friday,6,2,0,14,4
2023-01-06,FRESH,BKD1,KINH DO BREAD,-0.3900089083672978,-0.5250681331876046,5.Friday,6,1,0,5,4
2023-01-06,FRESH,BKD1,KINH DO CAKE,-0.3900089083672978,-0.5250681331876046,5.Friday,6,1,0,6,4
2023-01-06,DRY,BKD1,RITZ,-0.06371276062884447,-0.3051694880650771,5.Friday,6,0,0,10,4
2023-01-06,DRY,BKD1,SLIDE,1.3512812087232788,2.370874194198651,5.Friday,6,0,0,11,4
2023-01-06,TET,BKD1,HAMPER,-0.3263726177743272,0.09486426939334204,5.Friday,6,3,0,3,4
2023-01-06,MOONCAKE,BKD1,THU,-0.3900089083672978,-0.5250681331876046,5.Friday,6,2,0,13,4
2023-01-06,TET,BKD1,AFC,-0.17731848745924836,1.4669954917324455,5.Friday,6,3,0,0,4
2023-01-06,TET,BKD1,KOKO,-0.3212000930355995,-0.5246474887743426,5.Friday,6,3,0,7,4
2023-01-06,TET,BKD1,LU,0.06033292438981709,2.203204868763429,5.Friday,6,3,0,8,4
2023-01-06,TET,BKD1,OREO,-0.2939612930353272,0.7561121722280864,5.Friday,6,3,0,9,4
2023-01-07,MOONCAKE,BKD1,TRANG VANG,-0.3900089083672978,-0.5250681331876046,6.Saturday,7,2,0,14,5
2023-01-07,FRESH,BKD1,KINH DO BREAD,-0.3900089083672978,-0.5250681331876046,6.Saturday,7,1,0,5,5
2023-01-07,FRESH,BKD1,KINH DO CAKE,-0.3900089083672978,-0.5250681331876046,6.Saturday,7,1,0,6,5
2023-01-07,DRY,BKD1,KINH DO BISCUIT,0.35122812299899664,2.5599151575950803,6.Saturday,7,0,0,4,5
2023-01-07,DRY,BKD1,LU,-0.22467793414961726,-0.516353374158559,6.Saturday,7,0,0,8,5
2023-01-07,DRY,BKD1,RITZ,-0.3236677195164604,-0.44639520904479024,6.Saturday,7,0,0,10,5
2023-01-07,TET,BKD1,HAMPER,-0.27227465261699196,0.8717486786557423,6.Saturday,7,3,0,3,5
2023-01-07,DRY,BKD1,SLIDE,0.9885401160367261,2.327299639486757,6.Saturday,7,0,0,11,5
2023-01-07,TET,BKD1,AFC,-0.34208000941211486,-0.08641437115874813,6.Saturday,7,3,0,0,5
2023-01-07,TET,BKD1,COSY,-0.24081241498601547,0.5735480976808337,6.Saturday,7,3,0,2,5
2023-01-07,TET,BKD1,KOKO,-0.3871616470432275,-0.5250592543752507,6.Saturday,7,3,0,7,5
2023-01-07,TET,BKD1,LU,-0.12749141428801858,0.8463087137644553,6.Saturday,7,3,0,8,5
2023-01-07,TET,BKD1,OREO,-0.3862125599352041,-0.19008706773092632,6.Saturday,7,3,0,9,5
2023-01-07,TET,BKD1,SOLITE,-0.000503559234484408,1.3255010410389954,6.Saturday,7,3,0,12,5
2023-01-07,MOONCAKE,BKD1,THU,-0.3843143857191572,-0.5250562315041446,6.Saturday,7,2,0,13,5
2023-01-08,DRY,BKD1,RITZ,-0.3900089083672978,-0.5250681331876046,7.Sunday,8,0,0,10,6
2023-01-08,MOONCAKE,BKD1,TRANG VANG,-0.3900089083672978,-0.5250681331876046,7.Sunday,8,2,0,14,6
2023-01-08,FRESH,BKD1,KINH DO BREAD,-0.3900089083672978,-0.5250681331876046,7.Sunday,8,1,0,5,6
2023-01-08,FRESH,BKD1,KINH DO CAKE,-0.3900089083672978,-0.5250681331876046,7.Sunday,8,1,0,6,6
2023-01-08,DRY,BKD1,COSY,-0.35925848606733884,-0.5058304084642226,7.Sunday,8,0,0,2,6
2023-01-08,DRY,BKD1,KINH DO BISCUIT,-0.13375538920097318,0.4034399213159591,7.Sunday,8,0,0,4,6
2023-01-08,DRY,BKD1,LU,-0.3900089083672978,-0.5250681331876046,7.Sunday,8,0,0,8,6
2023-01-08,DRY,BKD1,OREO,-0.07073600522821781,0.18490805215892497,7.Sunday,8,0,0,9,6
2023-01-08,TET,BKD1,HAMPER,-0.3900089083672978,-0.5250681331876046,7.Sunday,8,3,0,3,6
2023-01-08,TET,BKD1,AFC,-0.3900089083672978,-0.5250681331876046,7.Sunday,8,3,0,0,6
2023-01-08,MOONCAKE,BKD1,THU,-0.3881107341512509,-0.5250641659597846,7.Sunday,8,2,0,13,6
2023-01-08,TET,BKD1,COSY,-0.3900089083672978,-0.5250681331876046,7.Sunday,8,3,0,2,6
2023-01-08,TET,BKD1,KOKO,-0.3900089083672978,-0.5250681331876046,7.Sunday,8,3,0,7,6
2023-01-08,TET,BKD1,LU,-0.3900089083672978,-0.5250681331876046,7.Sunday,8,3,0,8,6
2023-01-08,TET,BKD1,OREO,-0.3900089083672978,-0.5250681331876046,7.Sunday,8,3,0,9,6
2023-01-08,TET,BKD1,SOLITE,-0.3900089083672978,-0.5250681331876046,7.Sunday,8,3,0,12,6
2023-01-08,DRY,BKD1,AFC,-0.3900089083672978,-0.5250681331876046,7.Sunday,8,0,0,0,6
2023-01-08,DRY,BKD1,SLIDE,-0.32955205958620565,-0.44155834837428526,7.Sunday,8,0,0,11,6
2023-01-09,MOONCAKE,BKD1,TRANG VANG,-0.3900089083672978,-0.5250681331876046,1.Monday,9,2,0,14,0
2023-01-09,FRESH,BKD1,KINH DO BREAD,-0.3900089083672978,-0.5250681331876046,1.Monday,9,1,0,5,0
2023-01-09,FRESH,BKD1,KINH DO CAKE,-0.3900089083672978,-0.5250681331876046,1.Monday,9,1,0,6,0
2023-01-09,DRY,BKD1,KINH DO BISCUIT,0.28384293832933355,2.1240834919149245,1.Monday,9,0,0,4,0
2023-01-09,DRY,BKD1,LU,-0.3767216888549698,-0.5250454855959257,1.Monday,9,0,0,8,0
2023-01-09,DRY,BKD1,RITZ,-0.07595598432234664,-0.22398554061096168,1.Monday,9,0,0,10,0
2023-01-09,TET,BKD1,HAMPER,-0.31669192927248824,1.1771953974390974,1.Monday,9,3,0,3,0
2023-01-09,TET,BKD1,KOKO,-0.38905982125927435,-0.5250651735834866,1.Monday,9,3,0,7,0
2023-01-09,TET,BKD1,AFC,-0.34606617526581324,-0.2076316069501987,1.Monday,9,3,0,0,0
2023-01-09,TET,BKD1,COSY,-0.17124432996789846,0.6183399557883387,1.Monday,9,3,0,2,0
2023-01-09,TET,BKD1,LU,0.006614594075691275,1.5548852426836144,1.Monday,9,3,0,8,0
2023-01-09,TET,BKD1,OREO,-0.37026789652041053,-0.26847857780395884,1.Monday,9,3,0,9,0
2023-01-09,TET,BKD1,SOLITE,0.01582073902351849,0.7884905554535794,1.Monday,9,3,0,12,0
